Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,molecule_subtype,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain,tissue/cell_type,treatment,AGE
SRR18338966,RNA-Seq,152,9151055880,PRJNA816836,SAMN26723719,3685293737,"HYNEK WICHTERLE, PATHOLOGY AND CELL BIOLOGY, COLUMBIA UNIVERSITY",public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX14475082,NextSeq 500,GSM5956499,PAIRED,cDNA,TRANSCRIPTOMIC,nuclear RNA,Mus musculus,ILLUMINA,2022-08-02T00:00:00Z,2022-03-20T08:58:00Z,1,GSM5956499,mouse spinal cords,SRP364346,C57BL/6- Chat-Cre; SUN1-GFP-3xMYC,mouse spinal cords,none,2yr
SRR18338967,RNA-Seq,152,3755989008,PRJNA816836,SAMN26723720,1398462527,"HYNEK WICHTERLE, PATHOLOGY AND CELL BIOLOGY, COLUMBIA UNIVERSITY",public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX14475081,NextSeq 500,GSM5956498,PAIRED,cDNA,TRANSCRIPTOMIC,nuclear RNA,Mus musculus,ILLUMINA,2022-08-02T00:00:00Z,2022-03-18T20:40:00Z,1,GSM5956498,mouse spinal cords,SRP364346,C57BL/6- Chat-Cre; SUN1-GFP-3xMYC,mouse spinal cords,none,2yr
SRR18338968,RNA-Seq,152,4690058648,PRJNA816836,SAMN26723721,1873050595,"HYNEK WICHTERLE, PATHOLOGY AND CELL BIOLOGY, COLUMBIA UNIVERSITY",public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX14475080,NextSeq 500,GSM5956497,PAIRED,cDNA,TRANSCRIPTOMIC,nuclear RNA,Mus musculus,ILLUMINA,2022-08-02T00:00:00Z,2022-03-18T20:50:00Z,1,GSM5956497,mouse spinal cords,SRP364346,C57BL/6- Chat-Cre; SUN1-GFP-3xMYC,mouse spinal cords,none,P56
SRR18338969,RNA-Seq,152,4661554848,PRJNA816836,SAMN26723722,1862222604,"HYNEK WICHTERLE, PATHOLOGY AND CELL BIOLOGY, COLUMBIA UNIVERSITY",public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX14475079,NextSeq 500,GSM5956496,PAIRED,cDNA,TRANSCRIPTOMIC,nuclear RNA,Mus musculus,ILLUMINA,2022-08-02T00:00:00Z,2022-03-18T21:30:00Z,1,GSM5956496,mouse spinal cords,SRP364346,C57BL/6- Chat-Cre; SUN1-GFP-3xMYC,mouse spinal cords,none,P56
SRR18338970,RNA-Seq,152,4687961048,PRJNA816836,SAMN26723723,1877626219,"HYNEK WICHTERLE, PATHOLOGY AND CELL BIOLOGY, COLUMBIA UNIVERSITY",public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX14475078,NextSeq 500,GSM5956495,PAIRED,cDNA,TRANSCRIPTOMIC,nuclear RNA,Mus musculus,ILLUMINA,2022-08-02T00:00:00Z,2022-03-18T21:30:00Z,1,GSM5956495,mouse spinal cords,SRP364346,C57BL/6- Chat-Cre; SUN1-GFP-3xMYC,mouse spinal cords,none,P56
SRR18338971,RNA-Seq,152,4678703336,PRJNA816836,SAMN26723724,1870939906,"HYNEK WICHTERLE, PATHOLOGY AND CELL BIOLOGY, COLUMBIA UNIVERSITY",public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX14475077,NextSeq 500,GSM5956494,PAIRED,cDNA,TRANSCRIPTOMIC,nuclear RNA,Mus musculus,ILLUMINA,2022-08-02T00:00:00Z,2022-03-18T20:51:00Z,1,GSM5956494,mouse spinal cords,SRP364346,C57BL/6- Chat-Cre; SUN1-GFP-3xMYC,mouse spinal cords,none,P21
SRR18338972,RNA-Seq,152,4838471296,PRJNA816836,SAMN26723725,1934469806,"HYNEK WICHTERLE, PATHOLOGY AND CELL BIOLOGY, COLUMBIA UNIVERSITY",public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX14475076,NextSeq 500,GSM5956493,PAIRED,cDNA,TRANSCRIPTOMIC,nuclear RNA,Mus musculus,ILLUMINA,2022-08-02T00:00:00Z,2022-03-23T05:27:00Z,1,GSM5956493,mouse spinal cords,SRP364346,C57BL/6- Chat-Cre; SUN1-GFP-3xMYC,mouse spinal cords,none,P21
SRR18338973,RNA-Seq,152,4871126368,PRJNA816836,SAMN26723726,1983883595,"HYNEK WICHTERLE, PATHOLOGY AND CELL BIOLOGY, COLUMBIA UNIVERSITY",public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX14475075,NextSeq 500,GSM5956492,PAIRED,cDNA,TRANSCRIPTOMIC,nuclear RNA,Mus musculus,ILLUMINA,2022-08-02T00:00:00Z,2022-03-18T21:38:00Z,1,GSM5956492,mouse spinal cords,SRP364346,C57BL/6- Chat-Cre; SUN1-GFP-3xMYC,mouse spinal cords,none,P21
SRR18338974,RNA-Seq,152,5890537320,PRJNA816836,SAMN26723727,2178099159,"HYNEK WICHTERLE, PATHOLOGY AND CELL BIOLOGY, COLUMBIA UNIVERSITY",public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX14475074,NextSeq 500,GSM5956491,PAIRED,cDNA,TRANSCRIPTOMIC,nuclear RNA,Mus musculus,ILLUMINA,2022-08-02T00:00:00Z,2022-03-18T21:26:00Z,1,GSM5956491,mouse spinal cords,SRP364346,C57BL/6- Chat-Cre; SUN1-GFP-3xMYC,mouse spinal cords,none,P13
SRR18338975,RNA-Seq,152,10860623136,PRJNA816836,SAMN26723728,4116287485,"HYNEK WICHTERLE, PATHOLOGY AND CELL BIOLOGY, COLUMBIA UNIVERSITY",public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX14475073,NextSeq 500,GSM5956490,PAIRED,cDNA,TRANSCRIPTOMIC,nuclear RNA,Mus musculus,ILLUMINA,2022-08-02T00:00:00Z,2022-03-19T02:30:00Z,1,GSM5956490,mouse spinal cords,SRP364346,C57BL/6- Chat-Cre; SUN1-GFP-3xMYC,mouse spinal cords,none,P13
SRR18338976,RNA-Seq,152,4394805944,PRJNA816836,SAMN26723729,1758442945,"HYNEK WICHTERLE, PATHOLOGY AND CELL BIOLOGY, COLUMBIA UNIVERSITY",public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX14475072,NextSeq 500,GSM5956489,PAIRED,cDNA,TRANSCRIPTOMIC,nuclear RNA,Mus musculus,ILLUMINA,2022-08-02T00:00:00Z,2022-03-18T20:34:00Z,1,GSM5956489,mouse spinal cords,SRP364346,C57BL/6- Chat-Cre; SUN1-GFP-3xMYC,mouse spinal cords,none,P4
SRR18338977,RNA-Seq,152,5244642048,PRJNA816836,SAMN26723730,2100188780,"HYNEK WICHTERLE, PATHOLOGY AND CELL BIOLOGY, COLUMBIA UNIVERSITY",public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX14475071,NextSeq 500,GSM5956488,PAIRED,cDNA,TRANSCRIPTOMIC,nuclear RNA,Mus musculus,ILLUMINA,2022-08-02T00:00:00Z,2022-03-19T01:01:00Z,1,GSM5956488,mouse spinal cords,SRP364346,C57BL/6- Chat-Cre; SUN1-GFP-3xMYC,mouse spinal cords,none,P4
