Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_Stage,Experiment,genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain,tissue,chromium_single_cell_atac_chemistry
SRR14407605,RNA-Seq,131,22275095311,PRJNA641653,SAMN18986038,13739454851,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",E10.5,SRX10759794,wild type,GSM5277843,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,05-08-21,5/4/21 7:03,1,GSM5277843,mouse brain cortex,SRP268666,C57BL/6NCrl,somatosensory cortex,
SRR14407606,RNA-Seq,126,40027109270,PRJNA641653,SAMN18986036,13044181842,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",E17.5,SRX10759795,wild type,GSM5277844,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,05-08-21,5/6/21 14:52,1,GSM5277844,mouse brain cortex,SRP268666,C57BL/6NCrl,somatosensory cortex,
SRR14407607,RNA-Seq,131,21479389202,PRJNA641653,SAMN18986034,13459391101,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",P4,SRX10759796,wild type,GSM5277845,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,05-08-21,5/4/21 12:13,1,GSM5277845,mouse brain cortex,SRP268666,C57BL/6NCrl,somatosensory cortex,
SRR12082755,RNA-Seq,132,18375426564,PRJNA641653,SAMN15357673,8418779482,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",E11.5,SRX8609910,wild type,GSM4635072,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,05-08-21,6/25/20 2:29,1,GSM4635072,mouse brain cortex,SRP268666,C57BL/6NCrl,somatosensory cortex,
SRR12082756,RNA-Seq,132,46595524932,PRJNA641653,SAMN15357672,21441797894,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",E12.5,SRX8609911,wild type,GSM4635073,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,05-08-21,6/25/20 22:08,1,GSM4635073,mouse brain cortex,SRP268666,C57BL/6NCrl,somatosensory cortex,
SRR12082757,RNA-Seq,132,26517802608,PRJNA641653,SAMN15357671,12176489037,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",E13.5,SRX8609912,wild type,GSM4635074,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,05-08-21,6/26/20 1:38,1,GSM4635074,mouse brain cortex,SRP268666,C57BL/6NCrl,somatosensory cortex,
SRR12082758,RNA-Seq,132,22658612328,PRJNA641653,SAMN15357670,9404524682,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",E14.5,SRX8609913,wild type,GSM4635075,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,05-08-21,6/25/20 7:00,1,GSM4635075,mouse brain cortex,SRP268666,C57BL/6NCrl,somatosensory cortex,
SRR12082759,RNA-Seq,132,57614919120,PRJNA641653,SAMN15357669,25292233173,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",E15.5,SRX8609914,wild type,GSM4635076,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,05-08-21,6/26/20 0:14,1,GSM4635076,mouse brain cortex,SRP268666,C57BL/6NCrl,somatosensory cortex,
SRR12082760,RNA-Seq,132,38136397068,PRJNA641653,SAMN15357668,17044790936,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",E16.5,SRX8609915,wild type,GSM4635077,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,05-08-21,6/26/20 16:28,1,GSM4635077,mouse brain cortex,SRP268666,C57BL/6NCrl,somatosensory cortex,
SRR12082761,RNA-Seq,132,64063894224,PRJNA641653,SAMN15357667,27273950702,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",E18.5,SRX8609916,wild type,GSM4635078,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,05-08-21,6/26/20 10:12,1,GSM4635078,mouse brain cortex,SRP268666,C57BL/6NCrl,somatosensory cortex,
